,Epoch,Training Loss,Testing Loss,Training Accuracy,Testing Accuracy
0,1,0.0141,0.0123,0.26546000000000003,0.3684
1,2,0.0129,0.0116,0.33104,0.4005
2,3,0.0126,0.0123,0.34596000000000005,0.3544
3,4,0.0124,0.0122,0.35982000000000003,0.3819
4,5,0.0124,0.0116,0.36142,0.4108
5,6,0.0114,0.0103,0.41124000000000005,0.464
6,7,0.0112,0.0107,0.42142,0.457
7,8,0.0110,0.0103,0.42752,0.46640000000000004
8,9,0.0109,0.0102,0.43748000000000004,0.4607
9,10,0.0108,0.0100,0.43892000000000003,0.48050000000000004
10,11,0.0103,0.0097,0.46380000000000005,0.5023
11,12,0.0102,0.0095,0.46974000000000005,0.5132
12,13,0.0102,0.0096,0.4681,0.5034000000000001
13,14,0.0100,0.0095,0.47862000000000005,0.5122
14,15,0.0100,0.0095,0.48072000000000004,0.5087
15,16,0.0096,0.0090,0.50324,0.5384
16,17,0.0095,0.0088,0.5046,0.5459
17,18,0.0094,0.0091,0.51066,0.5298
18,19,0.0094,0.0090,0.50404,0.5402
19,20,0.0094,0.0090,0.50804,0.538
20,21,0.0091,0.0085,0.5230400000000001,0.5621
21,22,0.0091,0.0086,0.52642,0.5602
22,23,0.0091,0.0086,0.5286200000000001,0.5585
23,24,0.0091,0.0086,0.5306200000000001,0.5628000000000001
24,25,0.0090,0.0084,0.52764,0.5631
25,26,0.0089,0.0084,0.53554,0.5683
26,27,0.0089,0.0085,0.536,0.5639000000000001
27,28,0.0088,0.0083,0.5389200000000001,0.5676
28,29,0.0088,0.0083,0.54162,0.5677
29,30,0.0088,0.0082,0.5421400000000001,0.5692
